Date,Open,High,Low,Close,Adj Close,Volume
2012-05-30,81.314285,82.855713,80.937141,579.169983,82.738571,132357400
2012-05-31,82.962860,83.071426,81.637146,577.730042,82.532860,122918600
2012-06-01,81.308571,81.807144,80.074287,560.989990,80.141426,130246900
2012-06-04,80.214287,81.071426,78.357140,564.289978,80.612854,139248900
2012-06-05,80.181427,80.924286,79.761429,562.830017,80.404289,97053600
2012-06-06,81.110001,81.978569,80.785713,571.460022,81.637146,100363900
2012-06-07,82.470001,82.474289,81.500000,571.719971,81.674286,94941700
2012-06-08,81.657143,82.940002,81.285713,580.320007,82.902855,86879100
2012-06-11,83.959999,84.071426,81.518570,571.169983,81.595711,147816200
2012-06-12,82.065712,82.374283,80.957146,576.159973,82.308571,108845100
2012-06-13,82.074287,82.639999,81.482857,572.160034,81.737144,73395000
2012-06-14,81.605713,81.928574,81.037140,571.529968,81.647141,86393300
2012-06-15,81.571426,82.088570,81.364288,574.130005,82.018570,83813800
2012-06-18,81.565712,83.984283,81.481430,585.779968,83.682854,110103000
2012-06-19,83.342857,84.285713,83.300003,587.410034,83.915718,90351100
2012-06-20,84.029999,84.178574,82.971428,585.739990,83.677139,89735800
2012-06-21,83.634285,84.031425,82.491432,577.669983,82.524284,81587800
2012-06-22,82.720001,83.169998,82.202858,582.099976,83.157143,71117900
2012-06-25,82.471428,82.828575,81.481430,570.770020,81.538574,76095600
2012-06-26,81.618568,82.070000,81.047142,572.030029,81.718575,69134100
2012-06-27,82.142860,82.391426,81.702858,574.500000,82.071426,50749300
2012-06-28,81.667145,82.000000,80.801430,569.049988,81.292854,70709100
2012-06-29,82.571426,83.428574,82.035713,584.000000,83.428574,105375200
2012-07-02,83.532860,84.781425,83.371429,592.520020,84.645714,100023000
2012-07-03,84.982857,85.714287,84.857140,599.409973,85.629997,60428200
2012-07-05,85.794289,87.762856,85.664284,609.940002,87.134285,121095800
2012-07-06,86.727142,86.919998,85.940002,605.880005,86.554283,104732600
2012-07-09,86.471428,87.699997,86.301430,613.890015,87.698570,94851400
2012-07-10,88.281425,88.552856,86.472855,608.210022,86.887146,127989400
2012-07-11,86.588570,86.808571,85.317146,604.429993,86.347145,117330500
2012-07-12,85.748573,86.209999,84.668571,598.900024,85.557144,107010400
2012-07-13,86.135712,86.741432,85.714287,604.969971,86.424286,77856800
2012-07-16,86.445717,87.374283,86.431427,606.910034,86.701431,75315100
2012-07-17,87.255714,87.357140,86.164284,606.940002,86.705711,73406200
2012-07-18,86.655716,86.905716,86.222855,606.260010,86.608574,63175000
2012-07-19,87.325714,87.907143,86.571426,614.320007,87.760002,109215400
2012-07-20,87.575714,87.777145,86.242859,604.300049,86.328575,99367800
2012-07-23,84.914284,86.557144,83.958572,603.830017,86.261429,121993900
2012-07-24,86.768570,87.097145,85.501427,600.919983,85.845711,141283100
2012-07-25,82.065712,82.971428,81.428574,574.970032,82.138573,219328200
2012-07-26,82.822861,82.914284,81.480003,574.880005,82.125717,101658200
2012-07-27,82.144287,83.690002,81.655716,585.159973,83.594284,100984100
2012-07-30,84.417145,85.634285,83.974289,595.030029,85.004288,94785600
2012-07-31,86.175713,87.385712,86.102859,610.760010,87.251427,115581900
2012-08-01,87.987144,88.057144,86.142860,606.809998,86.687141,96125400
2012-08-02,86.120003,87.241432,85.750000,607.789978,86.827141,83039600
